material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
Carbon Steel,239.7,32.1,5.05,547,3.45,7,1.33
SS316,240.9,34.2,5.61,405,3.41,6,0.86
SS316,174.2,54.2,5.22,635,3.39,2,0.87
Inconel,189.0,44.4,5.94,618,2.19,3,0.66
SS316,220.1,48.1,4.31,696,2.91,14,1.18
Carbon Steel,268.1,36.1,4.24,656,2.78,5,1.5
Alloy Steel,220.1,54.4,4.4,283,2.07,1,1.07
Inconel,184.4,30.1,5.65,661,3.59,8,0.81
Carbon Steel,149.9,31.3,5.94,315,2.26,10,0.9
Alloy Steel,262.8,47.2,6.01,521,2.58,13,1.11
Carbon Steel,181.5,37.6,4.87,466,1.74,7,1.14
Inconel,210.2,48.9,5.89,521,3.89,12,0.8
SS316,264.1,25.8,5.71,363,3.52,3,0.86
Inconel,205.2,41.3,4.95,454,1.59,4,0.75
SS316,145.4,34.1,5.6,295,3.98,12,0.71
Inconel,170.2,43.7,4.42,131,3.09,3,0.68
SS304,229.2,46.8,6.74,409,2.47,1,0.64
Carbon Steel,195.8,38.0,6.13,250,2.05,14,0.94
Carbon Steel,257.0,45.9,5.26,203,1.97,2,1.08
SS304,173.6,27.8,4.68,660,3.41,13,1.08
SS316,243.3,41.6,5.79,351,2.24,3,0.75
Carbon Steel,246.1,25.4,4.5,127,1.62,14,1.2
SS304,277.1,30.3,4.24,558,3.92,4,1.25
Carbon Steel,164.2,38.0,5.24,469,3.41,2,1.09
Alloy Steel,176.5,25.5,6.63,400,3.12,13,0.84
SS316,162.8,27.1,5.87,115,3.26,11,0.59
Alloy Steel,252.1,45.3,5.69,177,3.93,11,1.04
SS316,271.8,36.6,6.7,643,2.09,13,0.85
SS304,170.0,36.3,4.3,470,2.51,10,0.99
SS316,184.7,50.3,4.26,588,2.35,4,0.98
SS316,237.0,35.5,6.64,123,2.75,13,0.6
SS304,179.5,30.3,6.15,584,4.47,4,0.82
SS316,192.1,48.3,5.09,658,4.08,1,0.96
Carbon Steel,235.2,47.2,4.82,326,3.1,4,1.22
Inconel,255.7,34.6,6.53,333,1.53,9,0.58
SS304,258.6,35.6,6.69,506,2.95,10,0.82
Inconel,228.5,38.5,4.96,297,3.52,4,0.8
SS304,272.5,48.4,4.5,658,4.42,14,1.33
SS304,216.9,38.2,6.51,310,1.85,12,0.66
Alloy Steel,236.3,50.1,6.45,603,2.78,8,1.01
Alloy Steel,150.2,49.7,6.04,148,1.75,3,0.64
SS316,221.4,50.9,6.49,242,4.22,13,0.71
Inconel,245.5,36.3,4.42,566,3.18,11,1.06
SS304,174.8,34.9,5.33,252,2.72,14,0.78
SS316,147.9,28.6,4.51,489,3.74,13,0.96
Carbon Steel,173.3,37.0,5.44,149,3.09,5,0.95
SS304,274.9,25.4,6.72,125,4.17,6,0.71
Carbon Steel,269.5,52.6,4.86,517,1.73,9,1.33
SS316,170.4,33.8,6.79,518,2.65,7,0.58
Alloy Steel,146.4,33.4,6.67,634,2.87,12,0.86
SS316,187.0,30.1,5.88,332,2.19,12,0.68
Carbon Steel,150.9,54.2,6.76,518,3.11,1,0.84
SS304,197.6,43.1,4.9,179,1.73,6,0.76
Inconel,273.0,46.8,5.79,350,4.3,2,0.8
SS316,217.2,29.9,5.27,566,2.94,1,0.89
SS304,192.7,47.5,5.22,597,3.21,1,0.92
Alloy Steel,205.6,37.4,4.91,133,4.09,1,1.0
Alloy Steel,214.8,47.5,6.57,451,3.68,10,0.94
Alloy Steel,259.0,32.4,5.37,177,4.36,13,1.13
SS304,169.0,51.3,6.17,128,2.31,7,0.53
SS316,234.0,40.6,6.21,412,4.06,6,0.79
SS304,275.5,27.7,6.26,453,2.94,7,0.88
SS304,245.7,43.6,6.03,227,1.91,12,0.75
Inconel,277.3,43.2,5.86,432,1.77,2,0.72
Inconel,188.8,40.4,6.24,337,3.37,3,0.55
SS316,237.7,48.9,5.39,605,3.81,4,0.98
Inconel,204.3,54.4,5.48,297,3.4,11,0.72
Alloy Steel,150.6,28.9,4.53,191,1.92,8,0.93
Inconel,165.2,45.9,5.27,624,3.05,2,0.75
Alloy Steel,224.3,31.7,6.34,307,2.54,6,0.85
SS316,152.4,28.6,5.4,223,2.59,14,0.68
SS304,186.2,34.6,4.44,388,3.56,8,0.99
SS304,262.3,52.6,4.36,266,3.92,1,1.06
Inconel,223.6,54.6,5.6,654,2.21,12,0.85
Alloy Steel,191.6,38.9,6.14,122,2.26,7,0.74
Carbon Steel,236.2,50.3,6.15,118,4.1,6,0.99
Carbon Steel,214.6,32.3,4.9,326,1.56,9,1.14
Carbon Steel,257.7,27.7,5.59,239,2.53,9,1.12
SS304,235.1,48.7,5.5,152,3.11,2,0.76
SS304,218.1,42.6,5.67,327,2.51,4,0.77
Alloy Steel,230.4,42.1,5.13,691,3.32,1,1.21
Inconel,141.1,31.8,5.15,392,4.05,14,0.75
Carbon Steel,179.9,30.2,6.53,148,3.07,8,0.81
Alloy Steel,237.6,54.9,6.53,445,4.25,6,0.98
Alloy Steel,276.5,39.7,6.08,592,3.66,11,1.19
Inconel,220.0,33.4,6.2,212,2.47,3,0.51
Alloy Steel,167.9,47.1,5.58,524,3.8,6,1.02
Inconel,221.4,29.6,5.45,419,1.66,2,0.67
SS316,203.6,41.5,5.63,221,3.55,4,0.71
Inconel,175.6,45.4,6.18,457,2.91,7,0.59
Carbon Steel,251.2,28.2,6.41,547,2.73,5,1.1
Carbon Steel,242.3,53.2,4.67,139,3.72,6,1.22
Inconel,146.7,48.4,6.35,550,3.9,3,0.57
SS316,163.0,49.4,5.93,413,2.58,13,0.69
SS316,222.4,45.5,5.38,528,4.2,13,1.0
Carbon Steel,182.2,47.4,5.51,239,4.2,7,1.06
SS316,214.5,27.0,4.8,425,2.79,3,0.9
Alloy Steel,227.9,35.0,4.56,576,3.36,4,1.27
SS304,243.8,42.2,6.79,551,3.62,11,0.84
Alloy Steel,244.2,26.0,5.68,557,4.13,1,1.13
Carbon Steel,154.4,41.1,5.18,374,3.31,13,1.11
SS316,215.6,39.6,5.26,563,1.54,3,0.84
Inconel,237.2,41.3,4.85,307,2.04,10,0.81
SS304,188.0,31.8,5.3,272,3.34,10,0.82
Inconel,222.1,40.2,5.79,110,4.12,12,0.67
Carbon Steel,154.3,52.6,6.25,113,3.45,1,0.77
SS316,220.7,43.2,5.3,541,4.3,6,0.97
Inconel,267.5,28.7,4.81,199,2.06,7,0.81
Inconel,268.9,51.1,5.55,454,2.7,9,0.85
SS304,244.2,31.2,6.25,462,1.84,4,0.76
SS304,215.2,52.6,5.1,308,3.71,1,0.87
SS316,222.2,26.0,6.57,248,3.23,4,0.6
SS304,198.6,52.4,5.14,448,3.4,12,0.96
Inconel,169.8,40.5,6.74,375,3.17,6,0.46
Inconel,151.9,54.9,5.51,457,1.7,7,0.59
Carbon Steel,199.8,49.0,5.11,380,3.37,13,1.21
Inconel,206.1,41.9,4.37,565,2.86,2,0.93
SS316,214.8,39.4,5.49,559,1.81,8,0.84
Alloy Steel,260.6,53.4,5.17,262,3.43,12,1.15
Carbon Steel,252.1,54.4,6.38,620,2.72,9,1.16
Carbon Steel,171.1,31.9,5.95,111,1.81,5,0.8
SS316,165.0,44.6,4.82,159,2.23,14,0.74
SS316,224.4,49.2,6.7,666,1.92,14,0.77
SS304,181.0,51.9,4.23,151,2.12,3,0.82
Carbon Steel,157.2,51.3,5.87,522,4.23,5,1.07
SS304,187.9,32.8,5.19,454,2.3,5,0.84
Inconel,188.3,48.2,5.14,616,2.16,10,0.82
Carbon Steel,246.9,29.2,6.46,392,4.18,1,1.05
Carbon Steel,207.9,40.4,6.13,519,2.71,9,1.07
Alloy Steel,159.5,50.0,6.76,415,2.02,7,0.71
Carbon Steel,235.6,49.7,5.58,589,2.99,2,1.2
Inconel,217.6,44.5,6.36,223,1.53,5,0.46
SS304,176.9,33.0,6.1,250,3.4,5,0.64
SS304,164.6,52.4,5.29,329,3.06,2,0.74
Alloy Steel,163.3,47.1,4.42,461,2.24,5,1.08
Inconel,257.2,38.1,6.58,532,3.33,6,0.72
SS304,206.6,44.9,6.64,539,2.14,4,0.68
SS316,215.6,29.9,6.39,607,4.37,11,0.86
Inconel,186.8,48.1,4.48,145,3.68,9,0.78
Inconel,238.7,42.9,5.4,145,1.73,12,0.67
Alloy Steel,237.3,33.2,5.73,316,1.77,11,0.97
SS304,274.7,48.7,6.0,412,1.76,8,0.85
Inconel,246.2,44.2,6.17,534,3.41,8,0.78
SS304,175.0,39.7,4.78,692,4.33,10,1.1
SS316,222.4,55.0,5.65,383,2.44,5,0.77
Alloy Steel,242.3,30.8,4.5,353,3.89,14,1.3
SS316,147.7,38.7,5.56,486,3.45,8,0.76
Alloy Steel,172.2,28.6,4.4,517,2.52,7,1.15
Inconel,196.6,42.2,6.29,423,3.48,13,0.66
Alloy Steel,227.6,51.6,5.8,239,1.57,10,0.9
Carbon Steel,278.6,25.0,4.68,330,4.3,11,1.42
SS304,279.7,35.5,6.19,341,2.94,9,0.86
SS304,221.3,33.2,5.24,155,2.51,4,0.76
Carbon Steel,243.3,32.2,4.49,312,2.36,4,1.25
SS316,240.2,42.7,4.92,646,1.64,1,0.96
Carbon Steel,194.8,28.7,6.69,578,2.28,12,0.99
Inconel,198.5,51.4,6.66,380,3.34,9,0.56
Inconel,244.1,26.9,5.24,602,2.19,3,0.85
SS304,211.8,31.9,4.66,232,2.06,3,0.84
Inconel,255.7,49.0,5.84,229,3.05,4,0.67
SS304,279.3,30.2,5.23,554,3.59,8,1.11
Carbon Steel,265.6,38.9,5.82,548,1.6,4,1.15
Carbon Steel,221.2,27.7,6.48,259,1.89,9,0.9
Carbon Steel,146.2,50.6,4.29,297,4.29,11,1.23
SS304,152.2,37.3,5.17,255,3.67,10,0.79
Carbon Steel,214.6,53.9,4.48,636,4.47,2,1.42
Carbon Steel,209.3,39.4,5.74,594,2.54,2,1.11
SS316,216.1,50.9,6.11,412,4.1,12,0.82
Carbon Steel,259.1,51.0,6.04,602,3.59,10,1.26
Inconel,154.8,46.0,4.69,628,4.38,9,0.93
SS304,144.1,49.8,4.54,301,3.73,2,0.84
SS316,254.5,50.0,5.52,103,2.36,14,0.78
Alloy Steel,185.7,41.8,4.5,326,1.53,13,1.07
SS304,249.2,28.2,6.18,424,4.39,12,0.93
Inconel,228.6,53.0,4.47,662,3.56,2,1.02
SS304,272.6,30.0,6.2,525,2.92,6,0.9
Inconel,226.9,26.4,6.47,684,4.41,4,0.78
Inconel,230.7,42.8,5.2,139,3.96,3,0.72
Alloy Steel,175.4,25.0,4.61,381,4.33,3,1.12
SS304,203.2,29.9,6.27,516,2.16,2,0.7
Alloy Steel,248.2,31.9,4.54,620,4.39,8,1.4
Alloy Steel,200.5,53.3,5.29,483,2.69,9,1.07
SS304,201.9,34.4,5.03,534,3.74,3,0.97
Carbon Steel,144.4,44.6,5.16,618,2.92,8,1.15
Carbon Steel,162.3,31.1,4.44,192,2.86,2,1.07
Alloy Steel,246.5,43.8,4.54,119,4.26,3,1.14
SS316,166.0,38.9,4.2,458,3.32,4,0.95
Alloy Steel,200.2,31.0,5.48,138,3.25,5,0.89
Alloy Steel,222.6,38.0,6.76,189,2.89,14,0.81
Alloy Steel,194.9,39.4,5.76,274,3.58,1,0.89
Carbon Steel,273.4,52.2,6.08,549,1.94,12,1.2
Carbon Steel,278.1,29.3,5.5,470,3.61,10,1.32
Carbon Steel,248.6,53.2,4.39,420,4.15,14,1.46
Alloy Steel,144.6,27.4,5.23,179,3.2,14,0.91
SS316,237.0,49.6,4.31,502,4.35,13,1.18
Carbon Steel,238.9,25.9,6.63,131,3.12,2,0.86
SS304,270.9,53.4,5.83,570,3.34,7,1.0
SS304,232.5,41.6,5.75,570,2.94,9,0.94
SS304,163.0,38.2,6.08,455,3.45,9,0.74
Inconel,262.0,31.6,6.74,302,2.05,7,0.55
Alloy Steel,200.7,26.3,4.62,112,3.46,5,1.02
SS304,279.5,54.2,5.89,219,3.54,13,0.9
Alloy Steel,198.6,31.1,6.39,204,4.38,10,0.87
SS304,244.0,37.8,5.1,322,4.46,8,1.01
SS316,216.1,40.4,5.73,117,2.69,4,0.63
Alloy Steel,262.3,52.0,5.3,266,3.28,6,1.09
SS304,190.3,36.5,5.41,601,2.21,10,0.9
Carbon Steel,240.2,52.3,4.67,242,4.41,7,1.3
Alloy Steel,197.8,27.1,5.34,158,2.72,14,0.95
Inconel,212.1,35.8,5.74,198,2.67,9,0.61
Carbon Steel,195.9,50.7,4.22,453,3.3,4,1.3
Carbon Steel,275.8,38.6,4.81,144,2.01,10,1.21
Inconel,202.8,45.1,4.58,369,3.26,12,0.89
Carbon Steel,238.9,30.0,4.64,122,3.71,5,1.2
Carbon Steel,214.7,48.5,6.03,367,4.09,6,1.08
SS304,168.8,28.4,4.9,134,3.09,4,0.74
SS304,147.2,44.2,4.78,208,1.77,1,0.67
Alloy Steel,211.0,26.2,4.59,691,4.4,11,1.37
Alloy Steel,142.4,34.7,6.73,448,2.26,11,0.73
Alloy Steel,208.4,45.0,4.56,117,2.42,2,0.98
SS304,168.3,45.2,6.72,156,3.52,6,0.51
Alloy Steel,261.5,30.3,6.0,602,4.33,10,1.2
Carbon Steel,142.5,32.3,6.36,618,3.81,11,1.03
SS304,270.3,45.7,5.96,229,3.48,5,0.83
Alloy Steel,233.4,42.3,5.11,195,3.31,9,1.06
Carbon Steel,261.3,54.8,6.16,154,2.37,11,1.01
Alloy Steel,263.0,37.1,5.05,500,3.92,2,1.23
SS316,262.9,34.5,6.46,325,2.39,7,0.7
Alloy Steel,140.8,34.7,5.15,337,3.59,12,0.98
SS316,216.8,42.9,5.62,366,1.54,11,0.75
Alloy Steel,224.5,45.0,5.81,378,2.64,10,1.0
Inconel,273.2,50.4,6.58,588,1.83,5,0.7
Alloy Steel,195.8,42.4,5.59,464,3.79,6,1.04
SS304,244.6,46.5,5.56,593,2.79,5,0.97
SS304,265.7,32.3,6.61,136,4.3,6,0.72
SS316,167.2,30.0,5.81,413,3.51,13,0.76
SS304,252.4,41.2,5.01,466,3.65,1,1.02
Carbon Steel,276.7,49.7,5.56,173,4.08,7,1.18
Inconel,213.5,46.3,4.48,440,2.27,4,0.86
Inconel,199.4,27.6,6.32,324,3.08,11,0.59
Carbon Steel,140.4,44.1,5.54,456,3.88,10,1.07
SS316,164.5,35.8,6.56,561,3.17,11,0.68
Carbon Steel,249.3,33.2,6.34,354,3.5,2,1.04
Carbon Steel,247.3,29.5,5.3,191,2.21,12,1.13
Inconel,260.8,31.5,4.45,114,3.43,12,0.91
Alloy Steel,168.9,44.1,4.87,479,1.68,9,1.03
Inconel,278.3,29.1,6.01,342,2.78,7,0.74
Inconel,241.4,25.5,5.09,591,3.31,6,0.94
SS304,221.0,33.2,4.41,151,4.18,3,0.95
Carbon Steel,196.2,36.0,5.09,470,2.83,12,1.21
Inconel,149.5,49.0,4.81,424,4.14,2,0.75
Carbon Steel,235.2,31.9,5.39,214,1.66,12,1.08
SS304,232.7,41.7,6.1,379,1.68,12,0.77
Carbon Steel,152.4,53.8,5.85,552,2.01,10,1.01
Inconel,153.5,38.5,6.17,308,3.49,4,0.49
Carbon Steel,206.5,36.5,4.51,684,1.56,4,1.3
SS304,269.8,41.2,6.39,412,3.37,2,0.81
Alloy Steel,250.3,50.9,5.78,404,1.98,13,1.05
Carbon Steel,145.1,34.1,4.88,316,1.76,11,1.03
Inconel,173.5,40.3,6.35,267,4.33,2,0.51
SS304,212.2,52.6,5.49,695,4.05,10,1.05
Inconel,210.2,36.9,5.6,476,3.52,10,0.79
Inconel,261.5,49.2,6.25,282,1.74,5,0.59
Carbon Steel,143.2,29.6,4.78,674,3.22,10,1.26
Inconel,255.1,29.0,6.44,653,2.96,14,0.82
Carbon Steel,265.8,49.9,5.03,671,3.98,13,1.49
Alloy Steel,191.5,27.0,4.27,181,4.39,12,1.17
Inconel,248.7,28.7,5.75,661,4.13,13,0.97
Inconel,154.8,44.2,4.76,471,3.45,3,0.77
Inconel,194.1,41.9,4.7,227,2.95,2,0.71
SS316,148.1,45.9,6.76,243,1.93,9,0.41
SS316,249.6,33.0,4.66,514,3.35,4,1.05
SS304,279.5,49.4,5.8,283,3.37,12,0.93
SS316,258.7,46.7,6.26,342,3.46,3,0.75
SS304,191.5,37.4,6.35,540,3.81,14,0.83
SS316,174.8,29.0,5.29,574,3.25,7,0.87
Alloy Steel,159.2,41.1,4.76,107,2.22,5,0.87
SS304,167.8,26.9,4.31,322,2.3,11,0.92
SS316,203.6,50.3,4.46,392,1.95,4,0.89
Alloy Steel,174.1,44.6,6.31,468,4.08,10,0.93
SS316,249.9,51.8,6.68,572,2.45,1,0.71
Carbon Steel,253.2,27.3,4.93,658,2.26,8,1.37
Carbon Steel,204.6,44.1,5.91,637,3.41,1,1.13
Alloy Steel,149.3,40.6,4.59,542,3.04,5,1.1
Inconel,146.7,26.1,6.14,495,3.91,3,0.58
Inconel,141.7,53.7,6.12,311,2.39,11,0.48
Carbon Steel,275.9,53.3,6.24,312,2.74,5,1.07
Carbon Steel,232.4,47.9,4.89,112,1.75,12,1.11
Inconel,265.8,48.5,4.79,685,3.5,3,1.06
SS304,157.0,43.5,6.21,486,3.09,14,0.74
Inconel,265.4,34.7,4.53,384,1.84,13,0.96
SS316,221.5,47.4,6.31,493,1.88,1,0.66
SS304,269.9,31.7,5.17,359,2.82,9,1.0
SS316,162.9,33.2,6.61,505,2.99,1,0.57
Carbon Steel,230.4,33.6,6.32,616,4.04,9,1.19
SS304,216.2,44.1,4.77,687,3.74,14,1.17
SS316,248.7,44.7,4.66,427,4.45,6,1.08
SS316,215.5,46.8,4.48,511,1.78,2,0.93
SS304,169.9,40.2,6.39,539,3.13,13,0.75
Alloy Steel,244.1,43.4,4.48,190,1.78,12,1.13
Inconel,229.1,47.8,4.62,376,1.53,1,0.78
SS316,243.8,51.4,4.92,216,4.14,2,0.9
Inconel,168.6,41.7,6.11,469,2.06,9,0.57
Inconel,192.5,41.2,5.56,608,4.02,12,0.86
Carbon Steel,244.4,31.1,6.69,320,2.48,3,0.92
Inconel,257.9,39.1,5.51,174,2.66,4,0.68
SS316,241.1,51.6,5.74,334,2.74,8,0.8
Carbon Steel,165.0,25.9,4.63,208,2.66,1,1.03
SS304,222.3,39.4,5.87,138,3.24,7,0.72
SS316,238.4,26.6,5.47,459,3.31,12,0.94
Carbon Steel,255.5,39.9,4.4,135,2.5,14,1.28
Carbon Steel,277.5,31.3,6.35,412,2.62,14,1.15
Inconel,185.9,38.0,4.43,232,3.29,11,0.82
SS304,247.3,47.0,4.98,204,3.41,4,0.91
SS316,250.0,28.6,5.27,603,2.65,9,1.0
SS316,273.0,31.1,5.67,687,2.0,11,1.0
Inconel,143.4,50.0,4.91,410,2.4,5,0.67
SS304,147.9,50.6,4.79,326,2.89,4,0.79
SS316,252.4,38.7,5.46,180,1.74,7,0.74
SS304,266.5,52.3,6.23,104,1.67,14,0.7
SS316,225.4,29.1,6.15,494,4.37,14,0.89
Inconel,179.6,26.3,4.29,265,2.33,14,0.82
Alloy Steel,174.9,33.2,6.17,369,3.83,12,0.91
SS316,161.9,50.6,4.32,471,3.19,5,0.93
Carbon Steel,214.5,37.3,5.1,639,1.57,8,1.23
Carbon Steel,216.8,28.8,6.49,336,3.98,8,1.01
Alloy Steel,176.4,46.9,6.75,253,3.46,10,0.75
SS316,166.8,35.1,5.0,668,4.4,13,1.03
Carbon Steel,156.0,29.5,4.79,250,4.05,7,1.11
Carbon Steel,216.3,54.4,4.79,342,3.13,7,1.22
SS316,239.1,41.3,4.41,374,2.95,5,1.0
SS304,159.7,44.9,4.76,158,4.09,3,0.79
SS316,231.1,41.4,4.36,407,3.92,10,1.08
SS304,276.9,48.8,5.49,303,4.12,10,1.0
Alloy Steel,186.2,47.7,5.55,222,4.13,6,0.94
Inconel,162.6,32.7,6.66,436,3.75,1,0.48
Alloy Steel,143.8,27.0,5.41,645,3.12,4,1.01
Inconel,251.8,36.2,5.37,338,1.78,5,0.73
Carbon Steel,275.0,31.1,5.56,272,3.88,4,1.19
Carbon Steel,178.7,34.4,5.87,217,4.19,2,0.95
Carbon Steel,162.1,45.9,6.26,290,4.07,3,0.9
SS304,265.6,30.1,5.52,458,1.6,8,0.92
Inconel,265.2,44.6,4.6,364,3.35,6,0.96
Carbon Steel,260.0,28.5,6.12,291,4.47,13,1.18
SS316,277.8,45.0,5.85,199,4.15,11,0.87
Inconel,162.7,25.4,5.66,416,3.66,2,0.63
Inconel,169.4,36.4,6.73,302,2.39,6,0.4
SS304,215.7,46.3,5.02,382,3.96,12,1.0
Alloy Steel,184.0,32.6,6.33,627,3.08,5,0.94
SS304,155.8,27.6,6.07,352,4.22,3,0.68
Carbon Steel,203.0,47.5,5.89,472,2.56,5,1.05
SS316,252.9,50.3,4.86,118,3.72,2,0.86
SS316,185.5,45.6,4.38,204,4.07,12,0.93
Carbon Steel,278.8,27.2,4.4,304,4.1,6,1.41
SS316,190.5,27.1,6.18,344,3.78,4,0.66
SS304,262.0,48.0,6.25,498,2.28,1,0.8
SS304,262.4,25.0,4.64,333,2.64,14,1.08
Carbon Steel,261.0,41.4,5.19,686,1.83,4,1.31
SS316,142.5,37.6,4.27,679,1.88,9,0.96
Inconel,180.9,52.3,6.16,582,1.55,7,0.59
Alloy Steel,227.0,41.8,5.83,419,3.41,4,1.01
Inconel,155.8,46.1,5.61,157,2.23,1,0.44
SS304,205.6,34.0,5.76,278,2.4,14,0.77
SS304,223.8,26.9,6.48,626,2.49,6,0.8
SS304,264.9,30.6,4.41,243,3.88,14,1.13
SS304,200.1,33.0,6.25,444,3.48,4,0.74
Alloy Steel,170.8,39.7,6.12,415,1.6,3,0.78
Carbon Steel,256.1,51.4,5.69,410,2.79,12,1.2
SS304,267.5,38.9,4.56,304,1.99,6,1.0
SS316,225.0,43.9,5.74,521,2.21,7,0.82
Alloy Steel,158.4,32.0,6.25,682,2.29,8,0.91
SS304,224.1,47.3,5.52,480,1.71,9,0.86
SS316,140.4,26.2,5.77,644,2.22,10,0.74
SS304,276.0,34.9,5.45,217,3.33,13,0.95
Carbon Steel,206.4,42.7,5.6,612,1.65,8,1.14
Alloy Steel,145.1,28.2,5.08,581,3.22,14,1.1
Carbon Steel,195.6,26.3,4.92,590,2.35,1,1.19
Alloy Steel,155.9,35.4,5.52,624,2.98,11,1.04
SS304,146.3,38.5,6.62,199,2.67,3,0.44
SS304,197.5,52.2,6.06,464,2.43,13,0.79
Alloy Steel,240.6,53.6,6.08,617,1.51,14,1.06
SS316,176.1,26.8,5.77,511,1.84,14,0.75
SS316,252.0,44.9,4.44,457,3.15,1,1.04
SS304,149.9,27.4,5.12,665,3.51,9,0.95
SS304,230.5,51.6,5.76,401,1.92,9,0.82
Carbon Steel,225.8,51.2,6.08,172,4.21,6,1.01
SS304,256.1,54.7,6.33,516,3.1,11,0.89
Alloy Steel,208.0,42.3,4.31,173,3.18,9,1.12
SS316,242.1,44.6,6.4,515,2.79,3,0.75
SS316,150.9,41.3,6.44,454,2.18,3,0.52
Carbon Steel,203.0,42.4,6.17,159,4.17,10,0.98
SS316,191.8,25.8,5.22,415,3.04,12,0.86
SS316,200.3,29.3,6.51,307,1.96,13,0.6
Inconel,212.4,36.4,4.22,331,3.88,11,0.96
Alloy Steel,183.6,45.3,5.78,318,2.15,12,0.89
Inconel,218.4,28.2,4.64,683,2.19,8,0.97
SS316,210.8,53.9,5.2,123,1.59,11,0.7
Carbon Steel,162.4,25.7,6.17,375,2.37,5,0.88
Carbon Steel,257.0,36.1,5.17,384,2.83,2,1.21
SS316,255.7,54.5,4.95,676,2.67,13,1.12
SS304,275.9,48.2,6.75,386,3.1,13,0.82
Inconel,246.7,50.0,5.35,281,2.28,3,0.71
SS316,164.8,40.2,5.96,241,3.99,4,0.62
Carbon Steel,188.6,42.4,4.56,366,3.38,11,1.25
Carbon Steel,169.0,48.5,6.11,280,2.48,8,0.89
Inconel,226.9,31.0,5.23,123,2.93,4,0.66
Alloy Steel,267.0,29.0,5.74,459,2.56,12,1.13
SS316,145.3,47.4,5.63,134,3.54,9,0.6
SS316,262.8,53.3,4.59,377,4.44,12,1.13
Alloy Steel,245.6,39.8,4.99,394,3.07,14,1.21
Inconel,246.7,36.6,5.53,395,3.23,3,0.77
Inconel,265.2,38.7,5.35,461,3.27,7,0.89
Carbon Steel,273.8,31.0,4.48,612,2.82,1,1.43
Alloy Steel,181.8,32.2,5.01,253,1.59,14,0.97
Inconel,170.9,47.0,6.18,657,1.59,3,0.58
SS304,237.0,29.0,4.98,315,3.91,8,0.99
SS316,242.6,40.9,6.26,694,2.1,10,0.86
Carbon Steel,256.0,33.8,4.24,542,4.0,1,1.46
Alloy Steel,149.7,25.2,6.64,593,3.93,1,0.83
Carbon Steel,258.4,43.4,4.43,392,1.73,4,1.29
Inconel,197.0,27.0,5.11,166,3.92,13,0.75
Inconel,237.7,25.2,4.46,621,3.55,1,1.02
SS304,210.1,48.8,6.04,130,1.72,13,0.64
SS316,233.4,31.3,6.44,340,2.38,8,0.67
Alloy Steel,196.7,52.2,5.04,385,2.18,9,1.04
Carbon Steel,170.7,26.0,4.76,349,3.78,1,1.14
SS316,240.8,51.0,5.38,592,3.16,4,0.95
Inconel,235.6,32.3,6.06,593,3.91,6,0.81
